Media Source,Date,Tweets Ago,Text,Compound,Negative,Neutral,Positive
nytimes,Thu Mar 08 22:47:06 +0000 2018,82,8 new books recommended by critics and editors at The New York Times https://t.co/BUnJLjEfwA,-0.1027,0.733,0.147,0.12
nytimes,Thu Mar 08 22:32:06 +0000 2018,83,RT @dougmillsnyt: .@realDonaldTrump hands out pens to steel workers after signing an order imposing stiff and sweeping new tariffs on impor…,-0.1027,0.935,0.065,0.0
nytimes,Thu Mar 08 22:25:02 +0000 2018,84,Here’s Cardi B’s “Bodak Yellow” and your 3 minutes 44 seconds of frankness in a year of feminist pandering https://t.co/OFTxde8e4U,0.0,1.0,0.0,0.0
nytimes,Thu Mar 08 22:05:05 +0000 2018,85,"“I am a pawn caught between the federal and state governments, like a child between 2 fighting parents. Each is thr… https://t.co/iJYsW8BVXs",0.0,0.773,0.114,0.114
nytimes,Thu Mar 08 21:55:07 +0000 2018,86,"“It’s more than just racist,” one activist said. “It celebrates human subjugation.” https://t.co/eHZNoiKExV",0.5719,0.764,0.0,0.236
nytimes,Thu Mar 08 21:45:08 +0000 2018,87,Unsubscribing from IRL junk mail is almost as easy as unsubscribing from email spam https://t.co/x9AHYuxw63,0.0314,0.717,0.138,0.145
nytimes,Thu Mar 08 21:35:08 +0000 2018,88,One NYT reader's reaction to a group of U.S. allies signing a broad trade deal that was originally conceived by the… https://t.co/vuaOELJ0Nw,0.0,1.0,0.0,0.0
nytimes,Thu Mar 08 21:30:26 +0000 2018,89,"RT @DanBilefsky: Here is how my Quebec road trip is shaping up as Canadians share tips, infused with a love of la Belle province -  https:/…",0.7506,0.775,0.0,0.225
nytimes,Thu Mar 08 21:25:07 +0000 2018,90,"With no collective bargaining rights, no contract and no legal right to strike, West Virginia teachers managed to m… https://t.co/ZGt0V3TPy9",-0.6808,0.61,0.329,0.061
nytimes,Thu Mar 08 21:15:13 +0000 2018,91,"RT @rickgladstone: Some women, impatient over the fight for equality and glacial pace of change, found large and small ways to protest — wi…",-0.7003,0.746,0.254,0.0
nytimes,Thu Mar 08 21:05:03 +0000 2018,92,Deceptively simple to make and the payoff is just sublime https://t.co/q3LkEi3CGq,0.0,1.0,0.0,0.0
nytimes,Thu Mar 08 21:02:29 +0000 2018,93,"Breaking News: President Trump signed orders authorizing tariffs on steel and aluminum, sparing Canada and Mexico a… https://t.co/caCAWB3EJc",0.0,1.0,0.0,0.0
nytimes,Thu Mar 08 20:55:04 +0000 2018,94,"RT @EricNagourney: BREAKING. Charlotte Brontë, woman who gave the world ‘Jane Eyre,’ has died. In, um, 1855. The NYT's @susandominus and it…",-0.5574,0.854,0.146,0.0
nytimes,Thu Mar 08 20:45:14 +0000 2018,95,"In Opinion

Op-Ed contributors John McCain and Angelina Jolie write, ""Around the world, there is profound concern t… https://t.co/INrpy9G6vp",0.0,1.0,0.0,0.0
nytimes,Thu Mar 08 20:44:41 +0000 2018,96,RT @amyfiscus: Here are the Facebook messages that a low-level Trump campaign aide in Florida unwittingly sent to Russian trolls https://t.…,0.0,1.0,0.0,0.0
nytimes,Thu Mar 08 20:35:09 +0000 2018,97,"A revamped TPP has been signed by Canada, Japan and 9 other nations. The U.S. had backed out of the sweeping trade… https://t.co/dlo4ZiiHTA",0.0258,0.948,0.0,0.052
nytimes,Thu Mar 08 20:25:09 +0000 2018,98,From everyone cares and everything matters to no one cares and nothing matters. Here are 25 songs that tell us wher… https://t.co/WrWO20bfRl,0.6124,0.62,0.08,0.299
nytimes,Thu Mar 08 20:15:14 +0000 2018,99,"RT @peterbakernyt: As aides head for the doors in record numbers, Trump increasingly relies on his own judgment, in effect operating a pres…",0.0,1.0,0.0,0.0
BBCNews,Thu Mar 08 22:37:52 +0000 2018,100,"Friday's Daily Mirror: ""M25 rapist is dead"" 
#tomorrowspaperstoday #bbcpapers
(via@hendopolis)
https://t.co/WrEtG5WOn6",-0.8807,0.495,0.505,0.0
BBCNews,Thu Mar 08 22:36:35 +0000 2018,101,"Friday's The Times: ""Traitors are not safe on British soil says Russia"" #tomorrowspaperstoday 
#bbcpapers
(via@hend… https://t.co/n4xXnQc2FR",-0.3412,0.862,0.138,0.0
BBCNews,Thu Mar 08 22:36:18 +0000 2018,102,"Friday's The Guardian: ""Ministers set to offer NHS staff 6.5% rise"" #tomorrowspaperstoday #bbcpapers
(via@hendopoli… https://t.co/NgR2ndpYCM",0.0,1.0,0.0,0.0
BBCNews,Thu Mar 08 22:36:03 +0000 2018,103,"Friday's The Sun: ""Our lad's beating Vlad""
#tomorrowspaperstoday #bbcpapers
(via@hendopolis)
https://t.co/SlvYV4RpEj",-0.4588,0.769,0.231,0.0
BBCNews,Thu Mar 08 22:35:40 +0000 2018,104,"Friday's Daily Telegraph: ""Give blood pressure drugs to half of UK"" #tomorrowspaperstoday #bbcpapers
(via@hendopoli… https://t.co/MEtwkaGToP",-0.296,0.864,0.136,0.0
BBCNews,Thu Mar 08 20:31:12 +0000 2018,105,"IoD chair accused of racist, sexist, and bullying behaviour https://t.co/CHUQf5E6A0",-0.8779,0.409,0.591,0.0
