Lat,Lon,City,Country Code,Temperature (F),Humidity (%),Cloudiness (%),Windspeed (mph)
-83.0,-76.0,ushuaia,ar,55.4,54,40,16.11
-46.0,-38.0,chuy,uy,66.38,96,0,4.99
80.0,179.0,leningradskiy,ru,25.56,83,32,15.61
-21.0,-139.0,rikitea,pf,81.18,99,68,18.75
6.0,148.0,lorengau,pg,83.52,100,8,3.42
-71.0,31.0,port elizabeth,za,64.4,93,0,4.7
-89.0,168.0,bluff,nz,63.68,91,88,8.68
-31.0,161.0,ballina,au,75.24,100,80,10.8
-72.0,-80.0,ushuaia,ar,55.4,54,40,16.11
-38.0,-100.0,lebu,cl,58.41,95,8,14.27
62.0,-98.0,thompson,ca,19.4,85,90,9.17
18.0,159.0,butaritari,ki,83.03,100,64,7.11
74.0,71.0,yar-sale,ru,5.18,76,48,15.05
54.0,-35.0,tasiilaq,gl,17.6,78,0,2.24
-42.0,-88.0,ancud,cl,57.96,85,12,2.53
79.0,-95.0,thompson,ca,19.4,85,90,9.17
60.0,161.0,palana,ru,17.55,62,68,10.69
50.0,-10.0,skibbereen,ie,28.4,100,75,17.22
35.0,-135.0,fortuna,us,41.34,93,90,5.44
-48.0,174.0,dunedin,nz,64.98,95,88,3.2
43.0,-125.0,coos bay,us,36.36,93,90,9.17
-43.0,-113.0,rikitea,pf,81.18,99,68,18.75
-33.0,-69.0,lujan,ar,65.03,29,0,15.84
66.0,32.0,zelenoborskiy,ru,18.41,81,76,5.88
-79.0,151.0,hobart,au,68,60,75,9.17
65.0,130.0,namtsy,ru,-15.93,70,56,3.76
22.0,-81.0,aguada de pasajeros,cu,66.2,93,0,4.7
-56.0,72.0,saint-philippe,re,82.29,62,0,3.36
-64.0,81.0,busselton,au,68.49,100,68,11.7
41.0,177.0,nikolskoye,ru,-2.21,84,0,4.47
82.0,-167.0,barrow,us,39.94,59,1,9.17
-10.0,-83.0,chicama,pe,68,94,90,6.93
12.0,-115.0,cabo san lucas,mx,63.64,59,5,6.93
-43.0,85.0,busselton,au,68.49,100,68,11.7
-83.0,49.0,port alfred,za,65.7,100,100,5.99
10.0,1.0,kande,tg,78.8,54,0,4.7
70.0,77.0,tazovskiy,ru,-3.83,64,56,7.67
-8.0,10.0,soyo,ao,73.04,95,12,2.75
-47.0,41.0,east london,za,66.2,100,75,9.17
-19.0,38.0,quelimane,mz,77,94,75,5.82
15.0,-17.0,tivaouane,sn,63.18,95,0,12.37
32.0,53.0,meybod,ir,46.4,70,0,2.24
46.0,-121.0,yakima,us,38.75,75,75,9.17
46.0,18.0,szentlorinc,hu,18.72,91,92,5.1
-86.0,-88.0,ushuaia,ar,55.4,54,40,16.11
